,image_names,Area,small_objects_threshold,dq_metrics,sq_metrics,pq_metrics,precision_metrics,recall_metrics,dice_list,aji_list,aji_plus_list,prec_d_metrics,rec_d_metrics,f1_d_metrics
0,ID10_Aud_Cortex_Tursiops_1,Auditory Cortex,80,0.588235224913503,0.8199009582547344,0.4822946245857703,0.6249999218750099,0.5555554938271674,0.8566025431459665,0.4927089596743303,0.6621504443245013,0.5,0.4444444444444444,0.47058823529411764
1,ID10_Aud_Cortex_Tursiops_10,Auditory Cortex,80,0.699999930000007,0.8339263553293851,0.5837483903557306,0.7777776913580343,0.636363578512402,0.8906914066318365,0.732097186669561,0.7268414928521059,0.6666666666666666,0.5454545454545454,0.6
2,ID10_Aud_Cortex_Tursiops_11,Auditory Cortex,80,0.8888886913580686,0.8002403805357561,0.7113246246263111,0.799999840000032,0.9999997500000625,0.8748280604725568,0.7775061123902296,0.7775061123902296,0.8,1.0,0.8888888888888888
3,ID10_Aud_Cortex_Tursiops_12,Auditory Cortex,80,0.7142856122449125,0.7081601638761141,0.5058286162217077,0.7142856122449125,0.7142856122449125,0.8076837166844222,0.6774072685130372,0.6774072685130372,0.8571428571428571,0.8571428571428571,0.8571428571428571
4,ID10_Aud_Cortex_Tursiops_13,Auditory Cortex,80,0.6666665555555741,0.8741506478044663,0.5827670014084773,0.57142848979593,0.799999840000032,0.7363140675314815,0.582671729274651,0.582671729274651,0.7142857142857143,1.0,0.8333333333333334
5,ID10_Aud_Cortex_Tursiops_14,Auditory Cortex,80,0.9999999230769291,0.8253351445720997,0.8253350810847858,0.9999999230769291,0.9999999230769291,0.9220617701609182,0.843459431865784,0.843459431865784,1.0,1.0,1.0
6,ID10_Aud_Cortex_Tursiops_15,Auditory Cortex,80,0.699999930000007,0.8358344845689067,0.5850840806898266,0.7777776913580343,0.636363578512402,0.8960812393986178,0.6787235720779929,0.775707416276322,0.7777777777777778,0.6363636363636364,0.7
7,ID10_Aud_Cortex_Tursiops_16,Auditory Cortex,80,0.7619046893424106,0.8699489329341521,0.6628181714909568,0.7999999200000081,0.7272726611570308,0.8347778981016537,0.7136226501840772,0.7136226501840772,0.8,0.7272727272727273,0.7619047619047619
8,ID10_Aud_Cortex_Tursiops_17,Auditory Cortex,80,0.909090743801683,0.8456274644691573,0.7687521006533974,0.8333331944444675,0.99999980000004,0.8539257454574063,0.7404661014988173,0.7404661014988173,0.8333333333333334,1.0,0.9090909090909091
9,ID10_Aud_Cortex_Tursiops_18,Auditory Cortex,80,0.9230767810651106,0.7343940504315146,0.677902096105691,0.9999998333333611,0.857142734693895,0.9231424312900179,0.8572558322600577,0.8572558322600577,1.0,0.8571428571428571,0.9230769230769231
10,ID10_Aud_Cortex_Tursiops_19,Auditory Cortex,80,0.9333332088889055,0.825541413601306,0.77050521662719,0.8749998906250137,0.9999998571428775,0.8919009933581494,0.7899336948779485,0.7899336948779485,0.875,1.0,0.9333333333333333
11,ID10_Aud_Cortex_Tursiops_2,Auditory Cortex,80,0.7272726611570308,0.8515391551031863,0.6193011474113039,0.7272726611570308,0.7272726611570308,0.9413917020273965,0.6907486423249249,0.6788241100927536,0.7272727272727273,0.7272727272727273,0.7272727272727273
12,ID10_Aud_Cortex_Tursiops_20,Auditory Cortex,80,0.7499999062500118,0.8617408594887294,0.6463055638283516,0.9999998333333611,0.599999940000006,0.8501201255913768,0.5942198029297279,0.7161433554208463,1.0,0.6,0.75
